Player,Session,Total Distance (m),RPE,Avg Speed (m/min),Top Speed (m/s),HSD (m),HSD Ratio
Mason,5/31 Training 8,310.0,5.0,51.666666666666664,3.8,0.0,0.0
Mason,5/31 Training Total,4440.0,5.0,47.74193548387097,6.5,12.0,0.002702702702702703
Mason,7/12 Training 1,390.0,5.0,48.75,5.8,0.0,0.0
Mason,7/12 Training 2,800.0,6.0,50.0,6.3,1.0,0.00125
Mason,7/12 Training 3,720.0,7.0,72.0,7.5,31.0,0.043055555555555555
Mason,7/12 Training 4,590.0,8.0,45.38461538461539,5.3,0.0,0.0
Mason,7/12 Training 5,570.0,7.0,40.714285714285715,5.1,0.0,0.0
Mason,7/12 Training 6,630.0,6.0,45.0,5.8,0.0,0.0
Mason,7/12 Training 7,380.0,6.0,54.285714285714285,7.4,9.0,0.02368421052631579
Mason,7/12 Training Total,4080.0,6.0,49.75609756097561,7.5,41.0,0.010049019607843138
Mason,8/23 Training 1,610.0,6.0,67.77777777777777,6.7,1.0,0.001639344262295082
Mason,8/23 Training 2,470.0,6.0,47.0,6.1,1.0,0.002127659574468085
Mason,8/23 Training 3,420.0,6.0,60.0,6.3,1.0,0.002380952380952381
Mason,8/23 Training 4,440.0,6.0,48.888888888888886,3.6,0.0,0.0
Mason,8/23 Training 5,470.0,6.0,42.72727272727273,4.2,0.0,0.0
Mason,8/23 Training 6,450.0,6.0,50.0,7.0,18.0,0.04
Mason,8/23 Training 7,360.0,6.0,45.0,7.1,7.0,0.019444444444444445
Mason,8/23 Training 8,460.0,6.0,46.0,5.9,0.0,0.0
Mason,8/23 Training 9,280.0,6.0,40.0,4.2,0.0,0.0
Mason,8/23 Training Total,3960.0,6.0,49.5,7.1,28.0,0.007070707070707071
Mason,9/6 corner passing shoot,710.0,7.0,59.166666666666664,5.9,0.0,0.0
Mason,9/6 passing shoot,710.0,7.0,47.333333333333336,6.2,1.0,0.0014084507042253522
Mason,9/6 man down offense 1,470.0,7.0,52.22222222222222,5.8,0.0,0.0
Mason,9/6 man down offense 2,380.0,7.0,42.22222222222222,5.9,0.0,0.0
Mason,9/6 5v5,380.0,7.0,54.285714285714285,5.7,0.0,0.0
